产品,时间,总资产,市值,现金,仓位,日涨跌幅,日盈亏,月涨跌幅,月盈亏,年涨跌幅,年盈亏,总涨跌幅,总盈亏
共青城富赢资产管理合伙企业（有限合伙）－富赢惠民fof稳健1号私募证券投资基金,20250525,35976012.83,36326982.13,2410.02,99.95%,2.79%,486885.18,2.79%,486885.18,2.79%,486885.18,2.79%,486885.18
共青城富赢资产管理合伙企业（有限合伙）－富赢惠民fof稳健1号私募证券投资基金,20250524,35976012.83,36326982.13,2410.02,99.95%,2.79%,486885.18,2.79%,486885.18,2.79%,486885.18,2.79%,486885.18
共青城富赢资产管理合伙企业（有限合伙）－富赢惠民fof稳健1号私募证券投资基金,20250522,35976012.83,36326982.13,2410.02,99.95%,2.79%,486885.18,2.79%,486885.18,2.79%,486885.18,2.79%,486885.18
共青城富赢资产管理合伙企业（有限合伙）－富赢惠民fof稳健1号私募证券投资基金,20250125,35976012.83,36326982.13,2410.02,99.95%,2.79%,486885.18,2.79%,486885.18,2.79%,486885.18,2.79%,486885.18
共青城富赢资产管理合伙企业（有限合伙）－富赢惠民fof稳健1号私募证券投资基金,20200525,35976012.83,36326982.13,2410.02,99.95%,2.79%,486885.18,2.79%,486885.18,2.79%,486885.18,2.79%,486885.18
富赢九章量化1号,20250522,1894117.9,1909981,1824.9,99.82%,-94.59%,19366,-100.00%,1947540.72,-100.00%,2434425.9,-100.00%,2921311.08
共青城富赢资产管理合伙企业（有限合伙）－富赢惠民fof稳健1号私募证券投资基金,20250526,35976012.83,36326982.13,2410.02,99.95%,2.79%,486885.18,11.63%,1460655.54,14.75%,1947540.72,17.95%,2434425.9
